,Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered
84,2020-03-10,Delhi,28.7041,77.1025,4.0,0,0.0,0,0,0
85,2020-03-10,Haryana,29.0588,76.0856,14.0,0,0.0,0,0,0
86,2020-03-10,Karnataka,15.3173,75.7139,4.0,0,0.0,3,0,0
87,2020-03-10,Kerala,10.8505,76.2711,15.0,0,3.0,6,0,0
88,2020-03-10,Maharashtra,19.7515,75.7139,5.0,0,0.0,3,0,0
89,2020-03-10,Punjab,31.1471,75.3412,1.0,0,0.0,0,0,0
90,2020-03-10,Rajasthan,27.0238,74.2179,1.0,0,0.0,0,0,0
91,2020-03-10,Tamil Nadu,11.1271,78.6569,1.0,0,0.0,0,0,0
92,2020-03-10,Telengana,18.1124,79.0193,1.0,0,0.0,0,0,0
93,2020-03-10,Union Territory of Jammu and Kashmir,33.7782,76.5762,1.0,0,0.0,0,0,0
94,2020-03-10,Union Territory of Ladakh,34.2996,78.2932,2.0,0,0.0,0,0,0
95,2020-03-10,Uttar Pradesh,26.8467,80.9462,7.0,0,0.0,0,0,0
96,2020-03-11,Delhi,28.7041,77.1025,5.0,0,0.0,1,0,0
97,2020-03-11,Haryana,29.0588,76.0856,14.0,0,0.0,0,0,0
98,2020-03-11,Karnataka,15.3173,75.7139,4.0,0,0.0,0,0,0
99,2020-03-11,Kerala,10.8505,76.2711,17.0,0,3.0,2,0,0
100,2020-03-11,Maharashtra,19.7515,75.7139,10.0,0,0.0,5,0,0
101,2020-03-11,Punjab,31.1471,75.3412,1.0,0,0.0,0,0,0
102,2020-03-11,Rajasthan,27.0238,74.2179,3.0,0,0.0,2,0,0
103,2020-03-11,Tamil Nadu,11.1271,78.6569,1.0,0,0.0,0,0,0
104,2020-03-11,Telengana,18.1124,79.0193,1.0,0,0.0,0,0,0
105,2020-03-11,Union Territory of Jammu and Kashmir,33.7782,76.5762,1.0,0,0.0,0,0,0
106,2020-03-11,Union Territory of Ladakh,34.2996,78.2932,2.0,0,0.0,0,0,0
107,2020-03-11,Uttar Pradesh,26.8467,80.9462,9.0,0,0.0,2,0,0
108,2020-03-12,Andhra Pradesh,15.9129,79.74,1.0,0,0.0,0,0,0
109,2020-03-12,Delhi,28.7041,77.1025,6.0,0,0.0,1,0,0
110,2020-03-12,Haryana,29.0588,76.0856,14.0,0,0.0,0,0,0
111,2020-03-12,Karnataka,15.3173,75.7139,4.0,1,0.0,0,0,0
112,2020-03-12,Kerala,10.8505,76.2711,17.0,0,3.0,0,0,0
113,2020-03-12,Maharashtra,19.7515,75.7139,11.0,0,0.0,1,0,0
114,2020-03-12,Punjab,31.1471,75.3412,1.0,0,0.0,0,0,0
115,2020-03-12,Rajasthan,27.0238,74.2179,3.0,0,0.0,0,0,0
